Epoch: 20, test/loss_3: 0.013, test/accu_3: 0.995, test/loss_4: 0.038, test/accu_4: 0.984, test/loss_5: 0.095, test/accu_5: 0.960, test/loss_6: 0.194, test/accu_6: 0.918, test/grad_loss_3: 0.087, test/sdf_loss_3: 0.042, test/grad_loss_4: 0.059, test/sdf_loss_4: 0.027, test/grad_loss_5: 0.045, test/sdf_loss_5: 0.020, test/grad_loss_6: 0.039, test/sdf_loss_6: 0.016, test/loss: 0.676
Epoch: 40, test/loss_3: 0.013, test/accu_3: 0.995, test/loss_4: 0.050, test/accu_4: 0.980, test/loss_5: 0.107, test/accu_5: 0.956, test/loss_6: 0.204, test/accu_6: 0.914, test/grad_loss_3: 0.092, test/sdf_loss_3: 0.076, test/grad_loss_4: 0.067, test/sdf_loss_4: 0.068, test/grad_loss_5: 0.051, test/sdf_loss_5: 0.041, test/grad_loss_6: 0.046, test/sdf_loss_6: 0.038, test/loss: 0.852
Epoch: 60, test/loss_3: 0.010, test/accu_3: 0.996, test/loss_4: 0.032, test/accu_4: 0.987, test/loss_5: 0.083, test/accu_5: 0.965, test/loss_6: 0.179, test/accu_6: 0.925, test/grad_loss_3: 0.085, test/sdf_loss_3: 0.040, test/grad_loss_4: 0.057, test/sdf_loss_4: 0.021, test/grad_loss_5: 0.041, test/sdf_loss_5: 0.014, test/grad_loss_6: 0.035, test/sdf_loss_6: 0.013, test/loss: 0.609
Epoch: 80, test/loss_3: 0.010, test/accu_3: 0.996, test/loss_4: 0.032, test/accu_4: 0.987, test/loss_5: 0.081, test/accu_5: 0.966, test/loss_6: 0.174, test/accu_6: 0.928, test/grad_loss_3: 0.084, test/sdf_loss_3: 0.028, test/grad_loss_4: 0.056, test/sdf_loss_4: 0.014, test/grad_loss_5: 0.040, test/sdf_loss_5: 0.009, test/grad_loss_6: 0.034, test/sdf_loss_6: 0.008, test/loss: 0.570
Epoch: 100, test/loss_3: 0.010, test/accu_3: 0.996, test/loss_4: 0.031, test/accu_4: 0.987, test/loss_5: 0.080, test/accu_5: 0.967, test/loss_6: 0.172, test/accu_6: 0.928, test/grad_loss_3: 0.084, test/sdf_loss_3: 0.028, test/grad_loss_4: 0.055, test/sdf_loss_4: 0.013, test/grad_loss_5: 0.039, test/sdf_loss_5: 0.009, test/grad_loss_6: 0.033, test/sdf_loss_6: 0.009, test/loss: 0.564
Epoch: 120, test/loss_3: 0.010, test/accu_3: 0.996, test/loss_4: 0.031, test/accu_4: 0.987, test/loss_5: 0.078, test/accu_5: 0.968, test/loss_6: 0.170, test/accu_6: 0.930, test/grad_loss_3: 0.084, test/sdf_loss_3: 0.028, test/grad_loss_4: 0.055, test/sdf_loss_4: 0.015, test/grad_loss_5: 0.039, test/sdf_loss_5: 0.015, test/grad_loss_6: 0.033, test/sdf_loss_6: 0.017, test/loss: 0.573
Epoch: 140, test/loss_3: 0.011, test/accu_3: 0.996, test/loss_4: 0.033, test/accu_4: 0.986, test/loss_5: 0.076, test/accu_5: 0.968, test/loss_6: 0.165, test/accu_6: 0.931, test/grad_loss_3: 0.084, test/sdf_loss_3: 0.027, test/grad_loss_4: 0.055, test/sdf_loss_4: 0.012, test/grad_loss_5: 0.039, test/sdf_loss_5: 0.009, test/grad_loss_6: 0.032, test/sdf_loss_6: 0.008, test/loss: 0.550
Epoch: 160, test/loss_3: 0.011, test/accu_3: 0.996, test/loss_4: 0.032, test/accu_4: 0.987, test/loss_5: 0.077, test/accu_5: 0.968, test/loss_6: 0.164, test/accu_6: 0.932, test/grad_loss_3: 0.084, test/sdf_loss_3: 0.027, test/grad_loss_4: 0.055, test/sdf_loss_4: 0.012, test/grad_loss_5: 0.038, test/sdf_loss_5: 0.009, test/grad_loss_6: 0.032, test/sdf_loss_6: 0.008, test/loss: 0.550
Epoch: 180, test/loss_3: 0.010, test/accu_3: 0.996, test/loss_4: 0.033, test/accu_4: 0.987, test/loss_5: 0.078, test/accu_5: 0.968, test/loss_6: 0.171, test/accu_6: 0.929, test/grad_loss_3: 0.084, test/sdf_loss_3: 0.027, test/grad_loss_4: 0.055, test/sdf_loss_4: 0.013, test/grad_loss_5: 0.038, test/sdf_loss_5: 0.009, test/grad_loss_6: 0.032, test/sdf_loss_6: 0.008, test/loss: 0.558
Epoch: 200, test/loss_3: 0.012, test/accu_3: 0.996, test/loss_4: 0.033, test/accu_4: 0.987, test/loss_5: 0.077, test/accu_5: 0.968, test/loss_6: 0.165, test/accu_6: 0.931, test/grad_loss_3: 0.084, test/sdf_loss_3: 0.029, test/grad_loss_4: 0.055, test/sdf_loss_4: 0.014, test/grad_loss_5: 0.039, test/sdf_loss_5: 0.011, test/grad_loss_6: 0.033, test/sdf_loss_6: 0.011, test/loss: 0.562
Epoch: 220, test/loss_3: 0.012, test/accu_3: 0.995, test/loss_4: 0.035, test/accu_4: 0.986, test/loss_5: 0.079, test/accu_5: 0.968, test/loss_6: 0.172, test/accu_6: 0.930, test/grad_loss_3: 0.084, test/sdf_loss_3: 0.027, test/grad_loss_4: 0.055, test/sdf_loss_4: 0.014, test/grad_loss_5: 0.038, test/sdf_loss_5: 0.009, test/grad_loss_6: 0.032, test/sdf_loss_6: 0.008, test/loss: 0.567
Epoch: 240, test/loss_3: 0.012, test/accu_3: 0.996, test/loss_4: 0.038, test/accu_4: 0.986, test/loss_5: 0.083, test/accu_5: 0.967, test/loss_6: 0.175, test/accu_6: 0.929, test/grad_loss_3: 0.084, test/sdf_loss_3: 0.027, test/grad_loss_4: 0.055, test/sdf_loss_4: 0.012, test/grad_loss_5: 0.039, test/sdf_loss_5: 0.009, test/grad_loss_6: 0.032, test/sdf_loss_6: 0.008, test/loss: 0.574
Epoch: 260, test/loss_3: 0.012, test/accu_3: 0.996, test/loss_4: 0.038, test/accu_4: 0.987, test/loss_5: 0.079, test/accu_5: 0.969, test/loss_6: 0.164, test/accu_6: 0.933, test/grad_loss_3: 0.084, test/sdf_loss_3: 0.026, test/grad_loss_4: 0.054, test/sdf_loss_4: 0.011, test/grad_loss_5: 0.037, test/sdf_loss_5: 0.008, test/grad_loss_6: 0.031, test/sdf_loss_6: 0.007, test/loss: 0.550
Epoch: 280, test/loss_3: 0.013, test/accu_3: 0.996, test/loss_4: 0.040, test/accu_4: 0.987, test/loss_5: 0.082, test/accu_5: 0.968, test/loss_6: 0.166, test/accu_6: 0.933, test/grad_loss_3: 0.083, test/sdf_loss_3: 0.026, test/grad_loss_4: 0.054, test/sdf_loss_4: 0.011, test/grad_loss_5: 0.037, test/sdf_loss_5: 0.007, test/grad_loss_6: 0.031, test/sdf_loss_6: 0.006, test/loss: 0.556
Epoch: 300, test/loss_3: 0.014, test/accu_3: 0.996, test/loss_4: 0.041, test/accu_4: 0.987, test/loss_5: 0.082, test/accu_5: 0.968, test/loss_6: 0.164, test/accu_6: 0.934, test/grad_loss_3: 0.083, test/sdf_loss_3: 0.025, test/grad_loss_4: 0.054, test/sdf_loss_4: 0.011, test/grad_loss_5: 0.037, test/sdf_loss_5: 0.007, test/grad_loss_6: 0.030, test/sdf_loss_6: 0.006, test/loss: 0.554
